pool	rolls	numItems	totalWeight
AmbulanceDriverOutfit	3	18	82.500
AmbulanceDriverTools	3	19	257.500
AnthropologyBooks	4	16	120.000
AnthropologyCounter	4	20	220.000
AnthropologyDesk	4	27	224.600
AnthropologyDisplayClothing	4	27	195.610
AnthropologyDisplayTools	4	19	116.610
AnthropologyDisplayWeapons	4	20	92.610
Antiques	4	158	442.401
ArenaKitchenCutlery	4	11	132.000
ArenaKitchenFreezer	4	6	90.000
ArenaKitchenSauce	4	7	58.500
ArmyBunkerKitchen	4	31	36.510
ArmyBunkerLockers	4	33	28.081
ArmyBunkerMedical	4	33	31.510
ArmyBunkerStorage	4	45	52.521
ArmyHangarMechanics	4	38	324.200
ArmyHangarOutfit	4	21	131.000
ArmyHangarTools	4	50	238.400
ArmyStorageAmmunition	4	24	211.000
ArmyStorageElectronics	4	46	325.600
ArmyStorageGuns	4	24	104.500
ArmyStorageMedical	4	32	179.810
ArmyStorageOutfit	4	28	107.670
ArmySurplusAmmoBoxes	4	5	70.000
ArmySurplusBackpacks	4	13	144.000
ArmySurplusCases	4	5	110.000
ArmySurplusCots	4	4	100.000
ArmySurplusFootwear	4	6	130.000
ArmySurplusHeadwear	4	17	64.600
ArmySurplusLiterature	4	27	228.000
ArmySurplusMisc	4	23	153.101
ArmySurplusOutfit	4	41	132.700
ArmySurplusSnacks	4	8	120.000
ArmySurplusTools	4	17	145.000
ArmySurplusWater	4	4	60.000
ArtStoreLiterature	4	8	120.000
ArtStoreOther	4	16	148.100
ArtStorePaper	4	9	170.000
ArtStorePen	4	12	180.000
ArtStorePottery	4	13	163.650
ArtSupplies	4	46	169.700
BBQCharcoal	2	9	21.000
BBQCharcoalRich	4	14	57.000
BBQPropane	2	9	21.000
BBQPropaneRich	2	14	57.000
BackstageClothingRack	4	124	38.330
BackstageCounter	4	91	49.241
BackstageDresser	4	151	78.870
BackstageFridge	4	16	89.000
BackstageLockers	2	218	90.011
BackstageRigging	4	5	101.000
BagStoreLeather	4	10	140.000
Bakery	1	0	0.000
BakeryBread	4	9	92.000
BakeryCake	4	8	78.000
BakeryDoughnuts	4	8	120.000
BakeryKitchenBaking	4	23	121.001
BakeryKitchenCutlery	4	19	109.001
